fid,liansai,Lteam,L进,L失,Rteam,R进,R失,time,平均初盘胜,平均即时胜,平均初盘平,平均即时平,平均初盘负,平均即时负,离散初盘胜,离散即时胜,离散初盘平,离散即时平,离散初盘负,离散即时负,初盘胜,初盘平,初盘负,胜,平,负,平均即时大,平均即时盘口,平均即时小,平均初盘大,平均初盘盘口,平均初盘小,最高即时大,最高即时盘口,最高即时小,最高初盘大,最高初盘盘口,最高初盘小,最低即时大,最低即时盘口,最低即时小,最低初盘大,最低初盘盘口,最低初盘小,赛果
1077477,日职乙,班迪特斯磐城,1.8,0.93,町田泽维亚,1.13,1.13,2023-03-26 13:00,2.62,2.39,3.1,3.09,2.58,2.91,24.33,13.19,12.24,10.56,17.87,24.38,0.97,0.93,0.85,0.92,0.92,0.92,1.03,2.3,0.81,0.9,2.3,0.92,0.9,2.5,0.57,0.77,2.5,0.67,1.25,2/2.5,0.91,1.1,2/2.5,1.04,客胜
1077478,日职乙,山口,1.6,1.53,藤枝MYFC,1.4,1.07,2023-03-26 13:00,2.17,2.51,3.19,3.21,3.26,2.67,59.59,18.16,10.02,13.29,317.74,20.7,0.8,0.92,1.12,0.92,0.92,0.92,0.91,2.5,0.92,1.01,2.37,0.81,0.8,2.5,0.75,0.83,2.5,0.57,0.95,2.5,1,1.25,2/2.5,1.02,客胜
1083069,日联杯,广岛三箭,1.47,1.27,名古屋鲸八,1,0.67,2023-03-26 13:00,2.08,2.09,3.05,3.11,3.52,3.53,17.35,19.8,13.04,12.18,23.19,36.65,0.92,0.91,0.92,0.92,0.92,0.92,1.04,2.22,0.83,1.01,2.12,0.85,0.77,2.5,0.49,0.81,2.5,0.49,1.43,2,1.11,1.45,2,1.01,客胜
1083070,日联杯,横滨FC,1.4,2,神户胜利船,1.53,0.73,2023-03-26 13:00,3.56,4.94,3.47,3.74,1.91,1.64,26.36,138.64,13.65,22.05,14.28,36.98,0.82,0.91,0.97,0.93,0.93,0.93,0.93,2.5,0.9,0.94,2.5,0.86,0.8,2.5,0.8,0.84,2.5,0.77,0.98,2.5,0.97,1.01,2.5,0.94,客胜
1083081,日联杯,新泻天鹅,1.47,0.87,鹿岛鹿角,1.13,1,2023-03-26 13:00,3.15,4.41,3.17,3.48,2.18,1.79,10.97,169.72,9.33,24.5,7.53,98.81,0.97,0.92,0.88,0.93,0.93,0.93,0.9,2.3,0.93,0.98,2.37,0.85,0.81,2.5,0.65,0.8,2.5,0.67,1.1,2/2.5,1.03,1.16,2/2.5,1.02,主胜
1086640,友谊赛,新西兰,0.73,1.07,中国,0.87,1.53,2023-03-26 11:00,1.8,1.9,3.3,3.11,4.48,4.4,13.09,15.62,17.64,12.19,51.9,41.79,0.89,0.98,0.94,0.93,0.93,0.93,1.08,1.92,0.82,1.04,2.23,0.8,0.8,2.5,0.36,0.77,2.5,0.5,1.9,1.5/2,1.02,1.4,2,1.05,主胜
1086639,美职联,洛杉矶FC,1.93,1.07,达拉斯FC,1.2,1.13,2023-03-26 10:30,1.58,1.55,4.03,4.12,5.09,5.45,5.61,6.66,12.21,13.92,36.76,33.01,0.94,0.92,0.89,0.94,0.93,0.93,0.89,2.7,0.95,0.88,2.7,0.95,0.65,2.5/3,0.82,0.65,2.5/3,0.84,0.99,2.5,1.1,0.97,2.5,1.1,主胜
1086632,美职联,堪萨斯城竞技,1.73,1.13,西雅图海湾人,1.47,1.27,2023-03-26 08:30,2.32,2.13,3.32,3.37,2.92,3.29,19.43,15.74,10.1,10.75,14.16,22.13,1.02,0.92,0.83,0.94,0.94,0.93,0.95,2.5,0.88,0.87,2.5,0.95,0.8,2.5,0.8,0.8,2.5,0.81,1.03,2.5,0.92,0.91,2.5,1.02,客胜
1086634,美职联,休斯顿迪纳摩,1.2,2,纽约城,1.4,1.07,2023-03-26 08:30,2.53,2.49,3.3,3.27,2.64,2.75,13.93,19.75,10.75,9.73,9.58,17.4,0.98,0.94,0.87,0.94,0.93,0.93,1.02,2.5,0.81,0.86,2.5,0.96,0.85,2.5,0.75,0.8,2.5,0.78,1.12,2.5,0.85,0.92,2.5,1.04,主胜
1086635,美职联,明尼苏达联,0.93,1.4,温哥华白帽,1.47,1.33,2023-03-26 08:30,2.07,2.31,3.53,3.4,3.3,2.93,49.09,19.92,20.04,14.32,108.89,18.98,0.89,0.95,0.99,0.93,0.93,0.94,0.92,2.52,0.91,0.95,2.7,0.87,0.8,2.5/3,0.75,0.7,2.5/3,0.75,0.98,2.5,0.96,1.04,2.5,1.05,平局
1086636,美职联,奥斯汀FC,1.07,1.67,科罗拉多急流,0.87,2.07,2023-03-26 08:30,1.61,1.69,4,3.93,4.87,4.51,6.84,8.35,11.64,16.39,35.5,41.98,0.93,0.93,0.93,0.93,0.94,0.94,0.79,2.72,1.06,0.81,2.7,1.02,0.6,3,0.8,0.6,2.5/3,0.91,1.04,2.5,1.25,0.9,2.5,1.2,平局
1086628,美职联,华盛顿联,0.93,2.13,新英格兰革命,1.07,1.4,2023-03-26 07:30,2.28,2.18,3.39,3.39,2.91,3.15,11.62,10.88,9.78,10.74,12.09,19.91,0.98,0.93,0.86,0.93,0.93,0.93,0.89,2.52,0.94,0.94,2.7,0.87,0.75,2.5/3,0.77,0.7,2.5/3,0.77,0.95,2.5,0.98,1.03,2.5,1,客胜
1086629,美职联,费城联合,1.87,1.07,奥兰多城,1.13,1.4,2023-03-26 07:30,1.62,1.63,3.89,3.79,5,5.2,14.66,11.17,21.82,28.08,75.46,47.06,0.92,0.96,0.93,0.94,0.93,0.93,0.83,2.52,1,0.89,2.62,0.92,0.73,2.5/3,0.79,0.75,2.5/3,0.78,0.91,2.5,1.06,1.05,2.5,1.06,客胜
1086630,美职联,哥伦布机员,1.33,1.47,亚特兰大联,1.93,1.67,2023-03-26 07:30,2.3,2.63,3.41,3.31,2.91,2.58,44.23,12.68,15.39,12.13,91.23,9.79,0.84,0.96,1.03,0.93,0.93,0.94,0.89,2.5,0.94,0.83,2.5,0.99,0.75,2.5,0.85,0.75,2.5,0.79,0.96,2.5,0.98,0.91,2.5,1.06,主胜
1086631,美职联,夏洛特FC,1.2,1.8,纽约红牛,1.2,1,2023-03-26 07:30,2.54,3.12,3.19,3.24,2.71,2.28,8.83,49.59,17.93,9.61,13.66,46.25,0.82,0.93,1.05,0.94,0.94,0.94,0.97,2.3,0.87,0.94,2.3,0.89,0.87,2.5,0.61,0.87,2.5,0.65,1.15,2/2.5,0.96,1.1,2/2.5,1.01,平局
1086624,友谊赛,摩洛哥,1.47,0.67,巴西,2.33,0.33,2023-03-26 06:00,5.78,5.03,4.14,3.54,1.52,1.7,326.09,34.06,135.51,24.46,38.34,10.5,1.12,1.07,0.83,0.94,0.93,0.93,0.99,2.19,0.87,0.85,2.67,0.96,0.76,2.5,0.53,0.62,3,0.71,1.35,2,1.11,1.01,2.5,1.2,主胜
1086219,欧洲杯,西班牙,1.93,0.67,挪威,1.93,0.87,2023-03-26 03:45,1.36,1.38,4.68,4.69,8.05,8.31,9.25,5.09,25.11,15.56,104.07,71.75,0.93,0.94,0.91,0.95,0.94,0.94,0.93,2.64,0.91,0.84,2.57,0.93,0.72,2.5/3,0.81,0.71,2.5/3,0.82,1.07,2.5,1.06,1.02,2.5,1.04,主胜
1086279,欧洲杯,克罗地亚,1.2,0.87,威尔士,1.2,1.4,2023-03-26 03:45,1.59,1.41,3.8,4.4,5.46,8.58,8.24,32.37,10.77,47.95,30.5,270.57,1.05,0.83,0.64,0.95,0.95,0.95,0.96,2.32,0.87,0.86,2.3,0.91,0.85,2.5,0.61,0.76,2.5,0.67,1.15,2/2.5,1,1.05,2/2.5,1,平局
