fid,liansai,Lteam,L进,L失,Rteam,R进,R失,time,平均初盘胜,平均即时胜,平均初盘平,平均即时平,平均初盘负,平均即时负,离散初盘胜,离散即时胜,离散初盘平,离散即时平,离散初盘负,离散即时负,初盘胜,初盘平,初盘负,胜,平,负,平均即时大,平均即时盘口,平均即时小,平均初盘大,平均初盘盘口,平均初盘小,最高即时大,最高即时盘口,最高即时小,最高初盘大,最高初盘盘口,最高初盘小,最低即时大,最低即时盘口,最低即时小,最低初盘大,最低初盘盘口,最低初盘小,赛果
1088197,巴西杯,巴拉纳竞技,1.6,0.53,CRB马瑟欧,1.07,1,2023-04-26 08:30,1.29,1.3,4.74,4.77,9.1,8.87,6.73,6.47,33.01,34.69,134.68,128.52,0.92,0.89,0.88,0.92,0.92,0.92,0.81,2.51,0.94,0.79,2.51,0.94,0.61,2.5/3,0.8,0.22,2.5/3,0.63,1.02,2/2.5,1.24,1.05,1.5,2.25,主胜
1043687,西甲,皇家贝蒂斯,1.4,1.6,皇家社会,0.73,0.93,2023-04-26 04:00,3.09,2.87,3.25,3.12,2.32,2.63,33.19,38.15,7.78,9,17.01,36.31,0.98,0.96,0.9,0.95,0.95,0.95,1.09,2.3,0.76,1.22,2.43,0.72,0.65,2.5,0.48,0.59,5.5,0.02,1.36,1.5/2,1.05,10,2,1.1,平局
1039409,英超,利兹联,1.2,2.13,莱切斯特城,1.27,1.67,2023-04-26 03:00,2.2,2.35,3.61,3.54,3.08,2.94,20.56,10.94,12.78,7.56,52.14,13.23,0.91,0.97,0.97,0.95,0.95,0.95,0.94,2.91,0.94,0.92,2.69,0.91,0.57,3.5,0.56,0.73,2.5/3,0.83,1.27,2.5,1.35,1.02,2.5,1.1,平局
1048595,英冠,布莱克本,1.27,1.13,伯恩利,1.4,0.93,2023-04-26 03:00,3.45,3.38,3.28,3.15,2.11,2.2,20.47,17.54,9.14,10.52,8.01,12.16,0.94,0.94,0.93,0.94,0.93,0.94,0.87,2.06,1.34,0.9,2.31,0.93,0.03,2.5,0.53,0.82,2.5,0.68,1.3,0.5,7.5,1.05,2/2.5,1.05,客胜
1039414,英超,阿斯顿维拉,1.73,1.13,富勒姆,1.27,1.27,2023-04-26 02:45,1.76,1.74,3.88,3.82,4.29,4.72,4.55,4.37,14.89,8.17,12.47,22.34,0.94,0.97,0.91,0.95,0.95,0.95,0.94,2.5,0.92,0.84,2.52,1,0.76,2.5,0.83,0.7,2.5/3,0.85,1,2.5,0.96,0.95,2.5,1.1,主胜
1046701,英甲,巴恩斯利,2.53,0.8,伊普斯维奇,2.47,0.4,2023-04-26 02:45,3.44,3.73,3.35,3.33,2.05,1.97,36.16,31.28,8.82,9.3,14.35,9.37,0.9,0.93,0.95,0.93,0.93,0.93,0.88,2.33,0.98,0.97,2.45,0.82,0.3,2.5,0.7,0.72,2.5,0.73,1.07,1.5,2.2,1.1,2/2.5,1.05,客胜
1046709,英甲,牛津联,0.53,1.4,切尔滕汉姆,1.2,1.4,2023-04-26 02:45,1.64,1.52,3.77,3.9,4.99,6.14,6.59,7.48,13.42,15.3,39.76,62.68,0.98,0.9,0.8,0.93,0.93,0.93,0.84,2.3,1.01,0.85,2.5,0.92,0.33,2.5,0.73,0.78,2.5,0.82,1.1,1.5,2.05,0.91,2.5,0.98,主胜
1047246,英乙,曼斯菲尔德,1.8,0.93,莱顿东方,1.47,0.8,2023-04-26 02:45,2.33,1.68,3.12,3.53,3.08,5.4,199.04,158.4,9.11,25.49,75.03,256.5,1.3,0.83,0.53,0.94,0.94,0.94,0.91,2.17,0.95,0.97,2.3,0.84,0.4,2.5,0.57,0.8,2.5,0.61,1.3,1.5,1.6,1.2,2/2.5,0.95,客胜
1039413,英超,狼队,1.07,1.2,水晶宫,0.93,1,2023-04-26 02:30,2.26,2.32,3.25,3.03,3.23,3.47,6.78,6.56,12.9,8.01,18.92,21.56,0.89,0.98,0.98,0.94,0.97,0.95,1.1,2.06,0.82,0.99,2.23,0.86,0.53,2.5,0.44,0.8,2.5,0.52,1.63,1.5,1.45,1.35,2,1.09,主胜
1081203,葡杯,布拉加,2.07,0.93,葡萄牙国民,1,1.93,2023-04-26 02:30,1.13,1.19,7.33,6.26,15.11,11.92,2.97,7.28,97.82,58.66,327.08,162.16,0.89,1.04,1.07,0.94,0.85,0.88,0.93,3.17,0.92,0.87,3.19,0.97,0.44,3.5,0.62,0.44,3.5,0.66,1.15,2.5,1.63,1.1,2.5,1.65,平局
1043688,西甲,加的斯,0.87,1,奥萨苏纳,0.8,1.13,2023-04-26 01:30,2.2,2.24,3.13,3.12,3.47,3.54,17.74,14.64,8.91,5.7,52.93,29.57,0.9,0.96,0.98,0.95,0.95,0.95,0.88,2.01,0.96,0.88,2.05,0.94,0.66,2/2.5,0.66,0.7,2.5,0.54,1.29,1.5/2,1.05,1.41,2,1.05,客胜
1043691,西甲,赫罗纳,1.47,1.27,皇家马德里,2.2,0.67,2023-04-26 01:30,5.33,5.06,4.24,4.23,1.56,1.62,50.17,26.64,23.24,11.41,14.64,6.17,0.93,0.95,0.94,0.95,0.95,0.95,0.78,2.75,1.08,0.82,2.66,1.07,0.48,3/3.5,0.74,0.37,5.5,0.07,1.15,2.5,1.3,6.5,2/2.5,1.38,主胜
1084058,瑞典甲,瓦斯特拉斯,1.87,1,厄勒布鲁,1.33,1.13,2023-04-26 01:00,1.88,1.86,3.44,3.47,3.8,3.92,28.92,10.12,12.32,11.48,65.32,30.81,0.94,0.92,0.9,0.92,0.92,0.92,0.89,2.5,0.92,0.89,2.5,0.9,0.78,2.5,0.8,0.79,2.5,0.8,0.96,2.5,0.98,0.95,2.5,0.99,主胜
1089789,丹麦杯,施克堡,1.53,1.6,奥尔堡,1.4,1.6,2023-04-26 01:00,1.96,2.21,3.45,3.35,3.45,3,16.53,17.02,12.62,11.2,70.23,25.43,0.82,0.95,1.06,0.92,0.92,0.92,0.83,2.5,0.94,0.79,2.49,0.99,0.58,2.5,0.85,0.22,2.5/3,0.77,0.98,2/2.5,1.28,1.02,1.5,2.8,平局
1078438,K1联赛,仁川联合,0.93,1.47,蔚山现代,1.53,1.13,2023-04-25 18:30,3.62,4.3,3.28,3.62,1.97,1.74,42.69,48.47,11.57,20.92,12.76,17.47,0.9,0.91,0.93,0.95,0.91,0.93,0.85,2.51,0.91,1.04,2.49,0.75,0.68,2.5/3,0.62,0.71,3.5,0.17,1.16,2/2.5,1.05,2.45,2/2.5,1.02,客胜
1078439,K1联赛,浦项制铁,1.4,1.07,水原三星,1.27,1.4,2023-04-25 18:30,1.85,1.71,3.26,3.58,4.11,4.5,8.05,13.95,11.15,15.98,28.17,26.52,0.95,0.89,0.88,0.93,0.89,0.92,0.9,2.47,0.86,1.19,2.51,0.88,0.5,2.5,0.6,0.01,8.5,0.17,1.05,2,1.18,3.5,0.5,7.14,主胜
1072389,智甲,奴伯伦斯,1.2,1.4,奥达科斯意大利人,1.4,1.4,2023-04-25 08:30,2.03,2.11,3.43,3.28,3.22,3.23,21.94,8.97,18.64,12.45,71.74,28.71,0.86,0.96,0.96,0.92,0.92,0.92,0.88,2.44,0.96,0.86,2.63,0.93,0.27,2.5,0.78,0.7,2.5/3,0.77,0.98,1.5,2.2,1.03,2.5,1.05,客胜
1073073,阿甲,阿根廷青年人,1.33,0.53,拉普拉塔体操,0.73,1.6,2023-04-25 08:30,1.48,1.38,3.98,4.47,6.52,7.81,26.91,7.93,24.1,24.49,64.21,122.39,1,0.84,0.74,0.93,0.93,0.93,0.82,2.44,1.05,0.98,2.31,0.84,0.25,2.5,0.85,0.78,2.5,0.6,0.92,1.5,2.4,1.25,2/2.5,1.08,客胜
1073082,阿甲,竞技俱乐部,1.53,1.07,图库曼竞技,0.67,1.27,2023-04-25 06:00,1.71,1.75,3.49,3.52,4.69,4.55,8.07,9.8,12.44,12.59,35.97,64.17,0.91,0.92,0.96,0.93,0.93,0.93,0.94,2.38,0.92,1.02,2.33,0.8,0.3,2.5,0.7,0.81,2.5,0.6,1.11,1.5,2,1.25,2/2.5,0.96,客胜
1050459,葡超,吉马良斯,1,1.33,里斯本竞技,1.8,0.93,2023-04-25 03:15,4.82,7.27,3.68,4.38,1.71,1.43,139.91,104.21,40.9,21.6,123.11,11.08,0.7,0.8,1.08,0.94,0.94,0.94,0.86,2.58,0.97,0.93,2.45,0.88,0.68,2.5/3,0.81,0.68,2.5/3,0.67,1.04,2.5,1.11,1.1,2/2.5,1.05,客胜
1081973,冰岛超,费基尔,2.27,1.27,哈夫纳夫约杜尔,2.27,1.93,2023-04-25 03:15,3.21,2.86,3.77,3.52,1.92,2.21,41.08,28.43,15.19,25.17,14.2,22.5,1.04,0.97,0.8,0.92,0.92,0.92,0.91,2.79,0.95,0.88,3.16,0.97,0.6,3.5,0.43,0.44,3.5,0.65,1.5,2.5,1.25,1.05,2.5,1.63,主胜
1048674,英冠,卢顿,1.13,0.73,米德尔斯堡,2.67,1.13,2023-04-25 03:00,2.19,2.18,3.32,3.31,3.11,3.25,18.42,14.73,12.79,8.52,32.47,37.73,0.88,0.93,0.99,0.94,0.93,0.94,0.93,2.28,0.94,1.01,2.48,0.81,0.33,2.5,0.61,0.83,2.5,0.7,1.2,1.5,2.05,1.08,2/2.5,1.06,主胜
1044520,意甲,亚特兰大,1.8,1.33,罗马,1.33,0.73,2023-04-25 02:45,2.29,2.46,3.3,3.18,3.09,3.04,9.46,16.64,11.41,8.95,12.79,19,0.93,0.97,0.93,0.95,0.95,0.95,1.05,2.31,0.82,0.96,2.41,0.87,0.9,2.5,0.57,0.72,2.5,0.62,1.25,2/2.5,0.92,1.15,2/2.5,1.06,主胜
1057675,法乙,波尔多,1.4,1.13,格勒诺布尔,0.87,0.8,2023-04-25 02:45,1.72,1.61,3.44,3.73,4.76,5.46,11.25,8.69,12.71,16.51,27.25,51.73,1,0.87,0.8,0.94,0.93,0.93,0.96,2.45,0.86,1.05,2.31,0.77,0.76,2.5,0.73,0.8,2.5,0.53,1.05,2/2.5,1.13,1.35,2/2.5,0.96,主胜
1073075,阿甲,巴拉卡斯中央队,1,1.33,防御与正义,1.4,0.93,2023-04-25 02:30,3.1,3.16,3.15,3.19,2.26,2.25,35.77,29.06,13.49,11.91,15.05,14.83,0.96,0.93,0.9,0.93,0.93,0.93,0.91,2.31,0.95,1.07,2.31,0.76,0.33,2.5,0.62,0.89,2.5,0.55,1.2,1.5,1.9,1.3,2/2.5,0.9,客胜
1040810,荷乙,埃因霍温青年队,2.33,1.67,马斯特里赫特,1.8,2.13,2023-04-25 02:00,1.91,2,3.69,3.85,3.38,3.12,7.35,28.13,18.35,19.63,18.33,57.21,0.93,0.89,0.92,0.92,0.93,0.93,0.81,3.19,1.04,0.82,3,0.97,0.4,3.5,0.75,0.44,3.5,0.7,0.9,2.5,1.7,1.02,2.5,1.55,客胜
1040811,荷乙,乌德勒支青年队,0.8,1.93,阿贾克斯青年队,2,2.2,2023-04-25 02:00,2.51,2.69,3.58,3.78,2.44,2.25,29.52,30.48,18.65,18.93,25.47,26.5,0.84,0.88,1.02,0.92,0.92,0.93,0.82,3.42,1.07,0.81,3.16,1.02,0.3,3.5/4,0.76,0.3,3.5,0.6,1.13,2.5,2.2,1.1,2.5,2.2,主胜
1073907,瑞典超,马尔默,1.47,0.93,北雪平,1.8,1.33,2023-04-25 01:10,1.54,1.44,4.08,4.42,5.4,6.55,10.67,8.75,15.58,18.93,33.44,47.62,0.99,0.86,0.79,0.93,0.93,0.93,0.84,2.69,0.99,0.89,2.7,0.92,0.61,2.5/3,0.82,0.64,3,0.82,0.93,2.5,1.15,1.05,2.5,1.12,主胜
1073905,瑞典超,韦纳穆,1.53,1.27,AIK索尔纳,1.27,1.27,2023-04-25 01:00,3.27,3.76,3.31,3.29,2.12,1.99,56.47,64.26,16.44,13.12,70.12,21.73,0.81,0.92,1.01,0.94,0.93,0.93,1.06,2.31,0.78,0.9,2.45,0.9,0.9,2.5,0.57,0.77,2.5,0.8,1.3,2/2.5,0.88,0.98,2/2.5,1.03,主胜
1073906,瑞典超,布鲁马波卡纳,1.53,1.93,米亚尔比,1.53,1.2,2023-04-25 01:00,3.12,3.13,3.35,3.25,2.17,2.25,18.94,22.18,17.6,10.96,10.2,18.5,0.92,0.96,0.91,0.93,0.93,0.93,0.9,2.31,0.93,0.9,2.58,0.9,0.8,2.5,0.67,0.75,2.5/3,0.76,1.1,2/2.5,1.04,1.08,2.5,1.05,主胜
1084057,瑞典甲,厄斯特松德,1.07,1.07,斯克维德,1.2,1.47,2023-04-25 01:00,2.13,1.89,3.29,3.45,3.2,3.79,48.04,9.19,11.35,10.84,43.15,24.62,1.04,0.88,0.79,0.93,0.93,0.92,0.92,2.5,0.9,0.88,2.38,0.92,0.83,2.5,0.83,0.78,2.5,0.7,0.97,2.5,0.95,1,2/2.5,1.07,主胜
1045922,俄超,莫斯科斯巴达,1.53,1.27,克拉斯诺达尔,2.07,1.2,2023-04-25 00:00,1.78,2.04,3.82,3.68,3.87,3.26,16.7,48.74,28.29,21.09,99,86.28,0.81,0.98,1.12,0.92,0.95,0.94,1.04,3.02,0.82,0.87,2.82,0.97,0.78,3.5,0.54,0.56,3,0.75,1.3,2.5/3,0.92,1.05,2.5,1.27,主胜
1087372,罗甲,克卢日大学,1.47,1.47,米奥文尼,0.87,1.6,2023-04-24 22:30,1.62,1.42,3.5,3.98,5.41,7.32,70.5,9.42,31.31,19.16,155.18,104.54,1.01,0.83,0.73,0.91,0.93,0.92,1,2.3,0.83,1.08,2.32,0.74,0.92,2.5,0.6,0.84,2.5,0.53,1.2,2/2.5,0.93,1.3,2/2.5,0.86,主胜
1059046,澳超,布里斯班狮吼,1.13,1.6,悉尼FC,1.47,1.4,2023-04-24 17:00,2.77,2.91,3.35,3.43,2.36,2.29,12.08,12.91,15.88,23.29,10.8,12.53,0.9,0.91,0.95,0.94,0.93,0.93,0.89,2.69,0.95,0.81,2.69,1.02,0.59,2.5/3,0.85,0.6,2.5/3,0.88,1,2.5,1.2,0.97,2.5,1.25,客胜
1071890,墨西联,桑托斯拉古纳,1.4,2.13,克雷塔罗,0.93,1.33,2023-04-24 09:05,1.71,1.55,3.78,4.17,4.35,5.18,80.62,6.06,26.6,16.99,114.03,37.32,1.02,0.85,0.79,0.93,0.93,0.93,0.86,2.94,0.99,0.87,2.7,0.95,0.5,3.5,0.56,0.57,3.5,0.52,1.27,2.5,1.4,1.35,2.5,1.25,客胜
1073083,阿甲,河床,2.13,0.87,阿根廷独立,0.87,1,2023-04-24 07:30,1.3,1.3,4.93,5.05,9.27,9.18,6.01,5.62,34.51,32.39,89.51,81.32,0.93,0.91,0.92,0.93,0.93,0.93,0.87,2.59,1.02,0.88,2.5,0.92,0.22,2.5/3,0.81,0.73,2.5,0.8,1.04,1.5,2.6,1.04,2.5,1.03,主胜
1072385,智甲,科洛科洛,1.33,1.07,巴勒斯坦人,1.73,1.6,2023-04-24 05:30,1.58,1.84,3.92,3.56,4.98,3.85,15.46,14.12,43.47,18.37,459.68,74.29,0.79,1.02,1.18,0.92,0.92,0.92,0.85,2.44,1,0.8,2.52,0.97,0.27,2.5,0.8,0.73,2.5/3,0.9,0.94,1.5,2.2,0.85,2.5,1.05,主胜
1073079,阿甲,拉普拉塔大学生,1.4,0.8,塔勒雷斯,1.4,0.93,2023-04-24 05:00,2.37,2.38,3.05,2.99,3,3.11,10.1,12.56,12.37,10.05,13.55,27.84,0.91,0.95,0.92,0.93,0.93,0.93,0.96,2.08,0.91,1.08,2.28,0.75,0.43,2.5,0.5,0.74,2.5,0.53,1.5,1.5,1.5,1.35,2,1,主胜
1073381,美职联,亚特兰大联,1.8,1.6,芝加哥火焰,1.47,1.47,2023-04-24 04:30,1.61,1.64,3.99,4.02,4.81,4.73,6.34,5.63,16.37,17.59,27.23,21.23,0.91,0.94,0.95,0.93,0.94,0.93,0.82,2.86,1.05,0.83,2.64,1,0.53,3,0.86,0.58,3,0.87,0.97,2.5,1.35,0.94,2.5,1.22,主胜
1050451,葡超,阿罗卡,1.07,1,维萨拉,1.4,1.07,2023-04-24 03:30,2.62,2.68,3.01,3.12,2.73,2.66,8.71,9.98,8.49,7.83,7.83,9.91,0.92,0.9,0.96,0.93,0.94,0.94,1,2.31,0.84,0.99,2.14,0.86,0.84,2.5,0.61,0.71,2.5,0.5,1.2,2/2.5,0.94,1.5,2,1.1,主胜
1043683,西甲,塞维利亚,1.6,1.33,比利亚雷亚尔,1.4,1.33,2023-04-24 03:00,2.72,2.9,3.39,3.33,2.56,2.45,142.6,10.35,15.1,6.83,104.38,8.59,0.94,0.98,0.94,0.95,0.95,0.95,0.97,2.5,0.88,0.99,2.5,0.84,0.86,2.5,0.73,0.86,2.5,0.73,1.02,2.5,0.94,1.05,2.5,0.88,主胜
1041497,法甲,里昂,1.67,1,马赛,1.53,1.13,2023-04-24 02:45,2.56,2.56,3.66,3.44,2.5,2.7,19.45,8.95,21.7,12.57,33.05,8.9,0.93,1.01,0.91,0.95,0.95,0.95,0.94,2.67,0.9,0.86,2.69,0.96,0.71,2.5/3,0.8,0.67,2.5/3,0.82,1.05,2.5,1.05,1,2.5,1.15,客胜
1044522,意甲,尤文图斯,1.53,0.73,那不勒斯,1.73,0.6,2023-04-24 02:45,2.79,3.07,3.15,3.05,2.58,2.53,8.03,16.09,13.67,8.53,9.7,8.18,0.86,0.99,0.97,0.95,0.95,0.95,1.11,2.3,0.78,1,2.36,0.83,0.77,2.5,0.57,0.82,2.5,0.55,1.3,2,1.07,1.29,2/2.5,1.08,客胜
1073084,阿甲,罗萨里奥中央,1.33,1.13,博卡青年,1.27,0.93,2023-04-24 02:30,2.8,2.77,2.96,2.97,2.56,2.64,11.16,11.06,10.76,10.61,11.78,11.68,0.93,0.92,0.91,0.93,0.93,0.93,0.99,2.06,0.89,1.03,2.13,0.83,0.47,2.5,0.5,0.76,2.5,0.47,1.5,1.5,1.4,1.5,2,1.02,平局
1042122,德甲,门兴格拉德巴赫,1.27,1.47,柏林联合,1.2,1.2,2023-04-24 01:30,2.43,2.45,3.37,3.26,2.85,2.96,31.64,10.55,26,5.27,73.21,10.91,0.95,0.98,0.9,0.95,0.95,0.95,0.98,2.38,0.84,0.91,2.38,0.88,0.82,2.5,0.6,0.65,2.5/3,0.66,1.21,2/2.5,1.02,1.11,0.5,1.13,客胜
1075666,挪超,利勒斯特罗姆,1.8,1.47,莫尔德,1.8,1.4,2023-04-24 01:15,3.23,3.14,3.52,3.52,2.04,2.12,22.53,13.75,17.35,10.87,12.81,12.86,0.96,0.93,0.9,0.93,0.93,0.93,0.95,2.75,0.9,0.96,2.75,0.88,0.7,3.5,0.43,0.7,3.5,0.41,1.6,2.5,1.05,1.68,2.5,1.05,主胜
1050452,葡超,本菲卡,2.27,0.8,埃斯托里尔,0.6,1.73,2023-04-24 01:00,1.11,1.12,8.09,8.19,19.15,18.32,3.43,3.32,83.13,78.69,316.31,213.94,0.93,0.92,0.98,0.94,0.94,0.94,0.84,3.2,1.04,0.92,3.19,0.93,0.4,3.5,0.73,0.44,3.5,0.6,1.13,2.5,1.75,1.25,2.5,1.65,主胜
1050458,葡超,圣克拉拉,0.47,2.07,查维斯,1,1.13,2023-04-24 01:00,2.68,2.54,3.03,3.13,2.65,2.79,15.02,7.23,8.13,6.92,7.42,6.45,0.99,0.9,0.89,0.93,0.93,0.93,1.01,2.3,0.84,1.02,2.17,0.83,0.71,2.5,0.59,0.71,2.5,0.5,1.2,2,0.99,1.5,2,1.1,平局
1045918,俄超,莫斯科中央陆军,1.53,0.67,莫斯科火车头,1.73,1.13,2023-04-24 00:30,1.78,1.76,3.71,3.77,4.04,4.19,56.93,23.78,17.92,21.54,92.55,38.55,0.94,0.92,0.9,0.93,0.93,0.93,0.96,2.75,0.9,0.86,2.57,0.97,0.63,3,0.66,0.7,2.5/3,0.82,1.04,2.5,1.13,0.98,2.5,1.03,平局
1044519,意甲,AC米兰,1.13,0.93,莱切,0.8,1.27,2023-04-24 00:00,1.49,1.54,4.09,3.93,6.67,6.82,5.84,5.46,15.18,10.11,36.99,27.61,0.92,0.99,0.93,0.95,0.95,0.95,1.04,2.31,0.83,0.96,2.47,0.86,0.9,2.5,0.6,0.8,2.5,0.7,1.25,2/2.5,0.91,1.06,2/2.5,1.06,主胜
1081969,冰岛超,韦斯特曼纳埃亚尔,1.8,1.4,贝雷达比历克,2,1.47,2023-04-24 00:00,4.15,4.62,3.93,4.07,1.67,1.6,41.79,24.65,17.31,16.43,17.29,8.41,0.83,0.89,0.96,0.92,0.92,0.92,0.89,2.96,0.97,0.94,3.18,0.9,0.53,3.5,0.55,0.5,3.5,0.6,1.2,2.5,1.35,1.1,2.5,1.5,主胜
1042121,德甲,勒沃库森,2.33,1.13,莱比锡红牛,1.47,1.4,2023-04-23 23:30,2.56,2.46,3.59,3.57,2.53,2.74,15.18,7.47,15.94,6.54,13.55,10.42,0.99,0.96,0.88,0.95,0.95,0.95,0.81,2.61,1,0.78,2.68,1.01,0.56,2.5/3,0.75,0.54,6.5/7,0.69,1.05,2.5,1.2,0.96,2.5,1.22,主胜
1073904,瑞典超,天狼星,1.67,1.07,赫根,2.87,1,2023-04-23 23:30,3.78,3.4,3.61,3.63,1.85,1.98,42.42,24.85,12.87,13.82,8.9,11.58,1.03,0.93,0.87,0.93,0.93,0.93,0.89,2.86,0.97,0.8,2.7,1.01,0.55,3,0.83,0.61,3,0.88,1.03,2.5,1.3,0.97,2.5,1.15,客胜
1086642,英足总杯,布赖顿,2,0.87,曼彻斯特联,1.67,1.2,2023-04-23 23:30,2.59,2.24,3.42,3.73,2.54,2.93,37.37,29.16,9.39,16.22,13.96,24.88,1.09,0.87,0.82,0.95,0.95,0.95,0.77,2.73,1.06,1.16,2.69,1.01,0.44,3/3.5,0.66,0.05,5.5,0.03,1.26,2.5,1.33,9,0.5,9,平局
1075660,挪超,奥勒松,0.93,1.33,博德闪耀,2.6,1.53,2023-04-23 23:00,5.35,6.07,4.25,4.36,1.52,1.47,129.18,77.14,39.58,34.81,35.43,15.42,0.78,0.87,0.99,0.93,0.93,0.93,0.95,2.75,0.89,0.93,2.84,0.89,0.67,3.5,0.48,0.7,3.5,0.46,1.45,2.5,1.1,1.5,2.5,1.06,客胜
1075663,挪超,萨尔普斯堡,2.13,1.13,奥德,1.67,1.4,2023-04-23 23:00,1.82,1.76,3.68,3.86,3.79,4.04,17.69,7.09,21.95,15.02,23.15,15.29,0.96,0.89,0.87,0.93,0.93,0.93,0.87,2.88,0.99,0.89,2.75,0.92,0.51,3,0.81,0.66,3,0.74,1.02,2.5,1.38,1.07,2.5,1.08,平局
1075665,挪超,特罗姆瑟,1.53,1.2,维京,1.73,1.8,2023-04-23 23:00,2.32,2.44,3.3,3.17,2.86,2.86,23.3,14.39,15.45,10.44,35.94,22.93,0.83,0.97,1,0.93,0.93,0.93,0.89,2.33,0.94,0.86,2.5,0.95,0.82,2.5,0.7,0.75,2.5,0.78,1.05,2/2.5,1.06,1.03,2.5,1.03,平局
1040276,荷甲,费耶诺德,2.47,1,乌德勒支,1.4,1.53,2023-04-23 22:45,1.38,1.32,4.84,5.32,6.9,8.3,18.43,7.44,42.61,32.67,67.78,107.19,0.98,0.86,0.77,0.94,0.94,0.94,0.96,3.27,0.84,0.93,3.05,0.93,0.57,3.5,0.56,0.09,3.5,0.5,1.22,2.5,1.3,1.6,1/1.5,4.8,主胜
1043676,西甲,巴塞罗那,1.33,0.73,马德里竞技,1.8,0.47,2023-04-23 22:15,1.92,1.96,3.43,3.39,3.98,4.06,11.74,6.12,14.88,7.55,43.52,15.74,0.92,0.96,0.94,0.95,0.95,0.95,0.92,2.31,0.93,0.94,2.38,0.88,0.83,2.5,0.67,0.72,2.5,0.67,1.1,2/2.5,1.02,1.1,2/2.5,1.06,主胜
1045917,俄超,格罗兹尼捷列克,1.27,1.07,索契,1.07,1.2,2023-04-23 21:30,2.22,2.31,3.38,3.36,2.93,2.85,16.05,19.92,17.04,13.55,27.37,18.74,0.91,0.93,0.92,0.93,0.92,0.92,0.93,2.5,0.92,0.89,2.5,0.94,0.8,2.5,0.89,0.81,2.5,0.84,0.98,2.5,0.96,0.93,2.5,1,主胜
1039399,英超,伯恩茅斯,1,1.8,西汉姆联,1.6,1.4,2023-04-23 21:00,3.05,2.89,3.27,3.25,2.34,2.51,27.7,8.85,13.67,8.02,11.73,6.17,1.01,0.96,0.88,0.95,0.95,0.95,0.89,2.33,0.97,0.95,2.31,0.89,0.82,2.5,0.67,0.83,2.5,0.65,1.1,2/2.5,1.11,1.15,2/2.5,1.05,客胜
1039407,英超,纽卡斯尔联,1.27,1.07,托特纳姆热刺,1.4,1.07,2023-04-23 21:00,1.89,1.88,3.62,3.72,3.96,4.05,22.33,8.02,16.75,10.98,41.71,21.78,0.99,0.92,0.89,0.96,0.95,0.95,0.93,2.66,0.92,0.9,2.5,0.92,0.68,2.5/3,0.84,0.78,2.5,0.85,1.06,2.5,1.05,0.98,2.5,1.03,主胜
1041499,法甲,南特,1.13,1.6,特鲁瓦,0.67,2.4,2023-04-23 21:00,1.67,1.51,3.81,4.35,4.94,6.25,6.59,9.15,13.39,20.23,11,50.69,1.04,0.84,0.76,0.95,0.96,0.95,0.86,2.69,0.97,0.85,2.53,0.96,0.67,2.5/3,0.89,0.74,2.5/3,0.83,0.94,2.5,1.1,1.04,2.5,1.06,平局
1041500,法甲,尼斯,1.47,0.87,克莱蒙,0.87,1.13,2023-04-23 21:00,1.62,1.72,3.83,3.66,5.45,5.06,10.36,6.69,19.76,9.3,63.74,37.42,0.87,1.01,1.07,0.95,0.95,0.95,0.97,2.48,0.86,0.95,2.42,0.87,0.76,2.5,0.7,0.79,2.5,0.69,1.03,2/2.5,1.04,1.06,2/2.5,1.08,客胜
1044524,意甲,蒙扎,1.27,1.33,佛罗伦萨,2.13,0.73,2023-04-23 21:00,3.71,3.64,3.5,3.36,1.97,2.08,37.74,8.13,14.46,6.99,16.13,4.88,0.98,0.98,0.9,0.95,0.95,0.95,0.96,2.31,0.89,0.98,2.48,0.84,0.88,2.5,0.61,0.78,2.5,0.73,1.15,2/2.5,0.98,1.09,2/2.5,1.02,主胜
1073902,瑞典超,佐加顿斯,1.33,1.47,IFK哥德堡,1.13,1.93,2023-04-23 21:00,1.49,1.47,4.19,4.25,5.8,6.48,8.62,17.57,26.98,36.78,58.3,120.92,0.94,0.94,0.86,0.93,0.93,0.93,0.9,2.7,0.93,0.9,2.78,0.92,0.66,3,0.7,0.57,3,0.74,1.05,2.5,1.1,1.07,2.5,1.25,主胜
1073903,瑞典超,卡尔马,1.93,1.07,哈尔姆斯塔德,0.93,1.27,2023-04-23 21:00,1.82,1.74,3.4,3.46,4.21,4.76,12.06,18.96,14.3,12.3,31.81,61.93,0.92,0.94,0.91,0.93,0.93,0.93,0.95,2.33,0.88,0.97,2.5,0.83,0.86,2.5,0.61,0.9,2.5,0.73,1.15,2/2.5,0.99,1.06,2.5,0.92,主胜
1040277,荷甲,前进之鹰,1.13,1.8,福图纳锡塔德,1.13,1.93,2023-04-23 20:30,2.02,1.82,3.53,3.64,3.35,4.09,27.84,10.55,18.61,11.96,33.88,29,1.04,0.91,0.77,0.94,0.94,0.94,0.86,2.69,0.97,0.86,2.67,0.95,0.67,2.5/3,0.8,0.67,2.5/3,0.82,0.93,2.5,1.1,1.04,2.5,1.1,主胜
